EVT_UDX_STA_UPD_REQUEST,EVT_UDX_STA_PDU_REQUEST,EVT_UDX_DL_CLEANUP_MEM,EVT_UDX_CONFIG_REQUEST,EVT_UDX_CONFIG_CONFIRM,EVT_TIMER_TICK_INDICATION,EVT_SCTP_USER_PAYLOAD_REQUEST,EVT_SCTP_USER_PAYLOAD_INDICATION,EVT_SCTP_CONFIG_RESPONSE,EVT_SCTP_CONFIG_REQUEST,EVT_SCTP_ASSOC_STATUS,EVT_RRM_UE_RECONFIG_RESPONSE,EVT_RRM_UE_RECONFIG_REQUEST,EVT_RRM_UE_ADMIT_REQUEST,EVT_RRM_UE_ADMIT_CONFIRM,EVT_RRM_CELL_ADD_REQUEST,EVT_RRM_CELL_ADD_CONFIRM,EVT_RLC_UE_CONFIG_CONFIRM,EVT_RLC_REQ_FLW_CTRL_INFO,EVT_RLC_FLW_CTRL_INFO_INDICATION,EVT_RGR_LVL2_CONFIG_CONFIRM,EVT_RGR_LVL1_TTI_INDICATION,EVT_RGR_LVL1_SI_CONFIG_CONFIRM,EVT_RGR_LVL1_CONFIG_CONFIRM,EVT_RGR_LVL1_CCCH_DATA_INDICATION,EVT_OAM_DU_CONFIG_REQUEST,EVT_OAM_CELL_CONFIG_REQUEST,EVT_NRUP_EGTPU_DATA_INDICATION,EVT_NRUP_ADD_RAB_RESPONSE,EVT_NRUP_ADD_RAB_REQUEST,EVT_KWU_DATA_REQUEST,EVT_KWU_DATA_INDICATION,EVT_F1AP_UE_MSG_TX,EVT_F1AP_UE_MSG_RX,EVT_F1AP_UE_ID_RESPONSE,EVT_F1AP_UE_ID_REQUEST,EVT_F1AP_MGMT_MSG_TX,EVT_F1AP_MGMT_MSG_RX,EVT_EGTP_TTI_INDICATION,EVT_EGTP_INIT_REQUEST,EVT_EGTP_ADD_TUNNEL_RESPONSE,EVT_EGTP_ADD_TUNNEL_REQUEST,EVT_CTF_CONFIG_CONFIRM,EVT_CKW_UL_CONFIG_REQUEST,EVT_APP_UE_RRC_RECONFIG_DELIVERY_INDICATION,EVT_APP_LCL_CELL_ADD_RSP,EVT_APP_LCL_CELL_ADD_REQ
0,0,0,0,0,0,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,1,0,0,2,1
0,0,0,0,0,9843,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,984,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,19687,1,0,0,1,0,0,2,1
0,0,0,0,0,19844,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,1984,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,39689,1,0,0,1,0,0,2,1
0,0,0,0,0,29845,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,2984,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,59691,1,0,0,1,0,0,2,1
0,0,0,0,0,39846,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,3984,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,79693,1,0,0,1,0,0,2,1
0,0,0,0,0,49847,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,4984,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,99695,1,0,0,1,0,0,2,1
0,0,0,0,0,59848,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,5985,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,119697,1,0,0,1,0,0,2,1
0,0,0,0,0,69849,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,6985,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,139699,1,0,0,1,0,0,2,1
0,0,0,0,0,79850,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,7985,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,159700,1,0,0,1,0,0,2,1
0,0,0,0,0,89851,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,8985,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,179702,1,0,0,1,0,0,2,1
0,0,0,0,0,99852,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,9985,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,199704,1,0,0,1,0,0,2,1
