EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0,0,0,1,3,2,0,8264,0,1,0
0,0,0,1,3,2,0,29274,0,1,0
0,0,0,1,3,2,0,50276,0,1,0
0,0,0,1,3,2,0,71278,0,1,0
0,0,0,1,3,2,0,92280,0,1,0
0,0,0,1,3,2,0,113281,0,1,0
0,0,0,1,3,2,0,134283,0,1,0
0,0,0,1,3,2,0,155285,0,1,0
0,0,0,1,3,2,0,176287,0,1,0
0,0,0,1,3,2,0,197289,0,1,0
0,0,0,1,3,2,0,218290,0,1,0
0,0,0,1,3,2,0,239292,0,1,0
0,0,0,1,3,2,0,260295,0,1,0
79,11,106,1,3,60,11,282911,79,1,18
237,31,318,1,3,180,31,308372,235,1,58
255,32,341,1,3,194,32,333442,255,1,64
255,32,1914,1,3,194,32,361626,255,1,64
255,32,5925,1,3,194,32,394716,255,1,64
255,32,9939,1,3,194,32,427834,255,1,64
255,32,13955,1,3,194,32,460966,255,1,64
255,32,17965,1,3,194,32,494048,255,1,64
