EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_UMUL_REASSEMBLE_TIMER,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0,0,0,1,3,2,0,2,0,0,1,0
0,0,0,1,3,2,0,19721,0,0,1,0
0,0,0,1,3,2,0,40723,0,0,1,0
0,0,0,1,3,2,0,61724,0,0,1,0
0,0,0,1,3,2,0,82726,0,0,1,0
0,0,0,1,3,2,0,103729,0,0,1,0
0,0,0,1,3,2,0,124731,0,0,1,0
0,0,0,1,3,2,0,145732,0,0,1,0
0,0,0,1,3,2,0,166734,0,0,1,0
0,0,0,1,3,2,0,187736,0,0,1,0
0,0,0,1,3,2,0,208738,0,0,1,0
0,0,0,1,3,2,0,229741,0,0,1,0
0,0,0,1,3,2,0,250743,0,0,1,0
23,4,35,1,3,18,4,272018,0,22,1,4
127,16,171,1,3,98,16,297075,0,127,1,32
127,16,171,1,3,98,16,322088,0,127,1,32
127,16,351,1,3,98,16,347465,0,127,1,32
127,16,4180,1,3,98,16,380152,2,127,1,32
127,16,8184,1,3,98,16,413187,2,127,1,32
127,16,12189,1,3,98,16,446226,2,127,1,32
127,16,16193,1,3,98,16,479261,2,127,1,32
127,16,20197,1,3,98,16,512295,2,127,1,32
