EVT_NAME,UE_NUMS,POOL_NUMS,UR_PER_TTI,IN_QUEUE,RT,NRT,NOT_IN_QUEUE,MIN_CYCLES,MAX_CYCLES,AVG_CYCLES,NUM_TIMES
EVT_L1_MSG_INDICATION,32,1,1,False,True,False,True,140,79416,10726.2,"46150
"
EVT_CTF_CONFIG_REQUEST,32,1,1,False,True,False,True,457076,457076,457076,"1
"
EVT_RGR_LVL1_CONFIG_REQUEST,32,1,1,False,True,False,True,22862,2080114,1.05149e+06,"2
"
EVT_RGR_LVL2_CONFIG_REQUEST,32,1,1,False,True,False,True,18468,18468,18468,"1
"
EVT_RGR_LVL1_SI_CONFIG_REQUEST,32,1,1,False,True,False,True,2992,18698,13344.5,"4
"
EVT_L1_MSG_INDICATION,32,1,1,False,True,False,True,140,79416,10708.2,"106340
"
EVT_CTF_CONFIG_REQUEST,32,1,1,False,True,False,True,457076,457076,457076,"1
"
EVT_RGR_LVL1_CONFIG_REQUEST,32,1,1,False,True,False,True,22862,2080114,1.05149e+06,"2
"
EVT_RGR_LVL2_CONFIG_REQUEST,32,1,1,False,True,False,True,18468,18468,18468,"1
"
EVT_RGR_LVL1_SI_CONFIG_REQUEST,32,1,1,False,True,False,True,2992,18698,13344.5,"4
"
EVT_L1_MSG_INDICATION,32,1,1,False,True,False,True,140,79416,10706.7,"166529
"
EVT_CTF_CONFIG_REQUEST,32,1,1,False,True,False,True,457076,457076,457076,"1
"
EVT_RGR_LVL1_CONFIG_REQUEST,32,1,1,False,True,False,True,22862,2080114,1.05149e+06,"2
"
EVT_RGR_LVL2_CONFIG_REQUEST,32,1,1,False,True,False,True,18468,18468,18468,"1
"
EVT_RGR_LVL1_SI_CONFIG_REQUEST,32,1,1,False,True,False,True,2992,18698,13344.5,"4
"
EVT_TFU_RA_REQUEST_INDICATION,32,1,1,False,True,False,True,6568,27512,12249.1,"32
"
EVT_TFU_CRC_INDICATION,32,1,1,False,True,False,True,794,5932,2747.08,"344
"
EVT_L1_MSG_INDICATION,32,1,1,False,True,False,True,124,119160,10364.1,"235612
"
EVT_CTF_CONFIG_REQUEST,32,1,1,False,True,False,True,457076,457076,457076,"1
"
EVT_RGR_LVL1_CONFIG_REQUEST,32,1,1,False,True,False,True,302,2080114,37050.5,"194
"
EVT_RGR_LVL2_CONFIG_REQUEST,32,1,1,False,True,False,True,18468,18468,18468,"1
"
EVT_RGR_LVL1_SI_CONFIG_REQUEST,32,1,1,False,True,False,True,2992,18698,13344.5,"4
"
EVT_RGR_LVL1_CCCH_DATA_REQUEST,32,1,1,False,True,False,True,1584,4430,2762.81,"32
"
